"matrix","dependent_character"
"Sauropoda_Royo-Torres_et_al_2014.nex",35
"Sauropoda_Royo-Torres_et_al_2014.nex",57
"Sauropoda_Royo-Torres_et_al_2014.nex",68
"Sauropoda_Royo-Torres_et_al_2014.nex",83
"Sauropoda_Royo-Torres_et_al_2014.nex",90
"Sauropoda_Royo-Torres_et_al_2014.nex",110
"Sauropoda_Royo-Torres_et_al_2014.nex",130
"Sauropoda_Royo-Torres_et_al_2014.nex",136
"Sauropoda_Royo-Torres_et_al_2014.nex",137
"Sauropoda_Royo-Torres_et_al_2014.nex",138
"Sauropoda_Royo-Torres_et_al_2014.nex",144
"Sauropoda_Royo-Torres_et_al_2014.nex",166
"Sauropoda_Royo-Torres_et_al_2014.nex",173
"Sauropoda_Royo-Torres_et_al_2014.nex",174
"Sauropoda_Royo-Torres_et_al_2014.nex",182
"Sauropoda_Royo-Torres_et_al_2014.nex",183
"Sauropoda_Royo-Torres_et_al_2014.nex",219
"Sauropoda_Royo-Torres_et_al_2014.nex",220
"Sauropoda_Royo-Torres_et_al_2014.nex",237
"Sauropoda_Royo-Torres_et_al_2014.nex",238
"Sauropodomorpha_McPhee_et_all_2020.nex",26
"Sauropodomorpha_McPhee_et_all_2020.nex",30
"Sauropodomorpha_McPhee_et_all_2020.nex",34
"Sauropodomorpha_McPhee_et_all_2020.nex",316
